#,Pattern / Algorithm,Question,Status,Solution / Hints,Link
20,Sliding Window (Variable),Find the length of the longest substring without repeating characters.,Not Done,"Expand right, shrink left on duplicate using hashset/map. Track maxLen. O(n).",https://leetcode.com/problems/longest-substring-without-repeating-characters/
21,Sliding Window (Variable),Find the longest substring with at most k distinct characters.,Not Done,"Expand right, shrink left when distinct > k using hashmap of char counts. O(n).",https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/
22,Sliding Window (Variable),Find the minimum window substring containing all characters of another string.,Not Done,"Two hashmaps. Expand right until valid. Shrink left while still valid. Track min. O(n+m).",https://leetcode.com/problems/minimum-window-substring/
23,Sliding Window (Variable),Find the maximum consecutive 1s if you may flip at most k zeroes.,Not Done,"Track zero count in window. Shrink left when zeros > k. Track max window size. O(n).",https://leetcode.com/problems/max-consecutive-ones-iii/
24,Sliding Window (Variable),Find the minimum-length subarray with sum at least a target.,Not Done,"Expand right. Shrink left while sum >= target. Track minLen. O(n) for positive nums.",https://leetcode.com/problems/minimum-size-subarray-sum/
25,Sliding Window (Variable),Count the number of subarrays with product less than k.,Not Done,"Expand right, shrink left when product >= k. Count += (right − left + 1) each step. O(n).",https://leetcode.com/problems/subarray-product-less-than-k/
26,Sliding Window (Variable),Solve Fruit Into Baskets or longest subarray with at most two distinct values.,Not Done,"Sliding window + hashmap. Shrink left when distinct > 2. Same pattern as Q21. O(n).",https://leetcode.com/problems/fruit-into-baskets/
27,Sliding Window (Variable),Find the longest repeating-character window after changing at most k characters.,Not Done,"Track maxFreq in window. Shrink when windowLen − maxFreq > k. O(n).",https://leetcode.com/problems/longest-repeating-character-replacement/
28,Sliding Window (Variable),Find the minimum swaps needed to group all elements <= k together.,Not Done,"Count elements <= k = window size. Slide fixed window, count bad elements. Min bad = answer.",https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/
,,,,
,── SLIDING WINDOW (FIXED SIZE) ──,,,,
29,Sliding Window (Fixed),Find the maximum sum or average of a fixed-size window.,Not Done,"Add right element, subtract left element. Track max. O(n).",https://leetcode.com/problems/maximum-average-subarray-i/
30,Sliding Window (Fixed),Find the sliding window maximum using a deque or monotonic queue.,Not Done,"Monotonic decreasing deque. Remove smaller from back, expired from front. O(n).",https://leetcode.com/problems/sliding-window-maximum/
31,Sliding Window (Fixed),Design a moving average over a data stream.,Not Done,"Queue of fixed size. Maintain running sum. Add new, remove old when full. O(1) per add.",https://leetcode.com/problems/moving-average-from-data-stream/
32,Sliding Window (Fixed),Design a hit counter over a moving time window.,Not Done,"Queue of timestamps. Dequeue expired on query. Or circular buffer of size 300. O(1) amortized.",https://leetcode.com/problems/design-hit-counter/
,,,,
,── PREFIX SUM + HASHMAP ──,,,,
33,Prefix Sum + HashMap,Count the number of subarrays whose sum is exactly k.,Not Done,"prefixSum hashmap. For each sum, check if (sum − k) exists in map. O(n).",https://leetcode.com/problems/subarray-sum-equals-k/
34,Prefix Sum + HashMap,Count the number of subarrays whose sum is divisible by k.,Not Done,"prefixSum mod k + hashmap. Same remainder → subarray divisible by k. Handle negative mods.",https://leetcode.com/problems/subarray-sums-divisible-by-k/
35,Prefix Sum + HashMap,Count the number of subarrays with equal numbers of 0s and 1s.,Not Done,"Replace 0 with −1. Problem becomes 'subarrays with sum 0'. Prefix sum + hashmap. O(n).",https://leetcode.com/problems/contiguous-array/
36,Prefix Sum + HashMap,Find the length of the longest zero-sum subarray.,Not Done,"Prefix sum + hashmap storing first occurrence of each sum. Max length = i − first[sum]. O(n).",https://www.geeksforgeeks.org/find-the-largest-subarray-with-0-sum/
37,Prefix Sum + HashMap,Find an equilibrium or pivot index.,Not Done,"Compute total. Scan left-to-right: if leftSum == total − leftSum − arr[i], found. O(n).",https://leetcode.com/problems/find-pivot-index/
38,Prefix Sum + HashMap,Compute the product of array except self.,Not Done,"Two-pass: prefix products left→right, suffix products right→left. O(n) without division.",https://leetcode.com/problems/product-of-array-except-self/
,,,,
,── HASHMAP / FREQUENCY COUNTING ──,,,,
39,HashMap / Counting,Find the intersection of two arrays including handling duplicates.,Not Done,"HashMap to count elements of one array. Iterate second and decrement. O(m+n).",https://leetcode.com/problems/intersection-of-two-arrays-ii/
40,HashMap / Counting,Find the longest consecutive sequence in an unsorted array.,Not Done,"HashSet. For each num where num−1 not in set, count forward. O(n) amortized.",https://leetcode.com/problems/longest-consecutive-sequence/
41,HashMap / Counting,Count distinct pairs with difference equal to k.,Not Done,"HashSet: for each element check if element+k exists. Or sort + two pointers. O(n).",https://leetcode.com/problems/k-diff-pairs-in-an-array/
42,HashMap / Counting,Find the first non-repeating character in a string.,Not Done,"Frequency map pass 1. Pass 2: first char with count 1. O(n).",https://leetcode.com/problems/first-unique-character-in-a-string/
43,HashMap / Counting,Determine whether two strings are anagrams.,Not Done,"Frequency count array of size 26. Increment for s1, decrement for s2. Check all zero. O(n).",https://leetcode.com/problems/valid-anagram/
44,HashMap / Counting,Group a list of strings into anagram buckets.,Not Done,"HashMap with sorted string (or char-frequency tuple) as key. O(n·k log k).",https://leetcode.com/problems/group-anagrams/
45,HashMap / Counting,Count how many distinct strings are possible after exactly one swap.,Not Done,"Try all O(n²) swaps with a set. Optimize with character frequency analysis.",https://www.geeksforgeeks.org/count-of-distinct-strings-that-can-be-obtained-after-performing-exactly-one-swap/
46,HashMap / Counting,Find the top-k frequent elements.,Not Done,"HashMap for freq + min-heap of size k. Or bucket sort by frequency. O(n log k) or O(n).",https://leetcode.com/problems/top-k-frequent-elements/
47,HashMap / Counting,Sort characters by frequency using a heap.,Not Done,"Frequency map + max-heap (or bucket sort). Build string from heap. O(n log k).",https://leetcode.com/problems/sort-characters-by-frequency/
,,,,
,── KADANE'S ALGORITHM ──,,,,
48,Kadane's Algorithm,Find the maximum subarray sum.,Not Done,"currentMax = max(num, currentMax + num). Track globalMax. O(n) time O(1) space.",https://leetcode.com/problems/maximum-subarray/
49,Kadane's Algorithm,Find the maximum product subarray.,Not Done,"Track both maxProd and minProd (negatives flip). Reset on zero. O(n).",https://leetcode.com/problems/maximum-product-subarray/
50,Kadane's Algorithm,Find the maximum subarray sum with one deletion.,Not Done,"Two arrays: maxEndHere[i] (no deletion) and maxEndHereWithDel[i] (one deletion). O(n).",https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion/
,,,,
,── BOYER-MOORE VOTING ──,,,,
51,Boyer-Moore Voting,Find the majority element that appears more than n/2 times.,Not Done,"Maintain candidate and count. Increment on match, decrement on mismatch. Last candidate wins. O(n) O(1).",https://leetcode.com/problems/majority-element/
52,Boyer-Moore Voting,Find all elements that appear more than n/3 times.,Not Done,"Extended with two candidates. At most 2 such elements. Verify counts in second pass. O(n).",https://leetcode.com/problems/majority-element-ii/
,,,,
,── CYCLIC SORT / INDEX-AS-HASH ──,,,,
53,Cyclic Sort / Index Mapping,Find the first missing positive integer.,Not Done,"Place each num at index num−1. First index where arr[i] ≠ i+1 is answer. O(n) time O(1) space.",https://leetcode.com/problems/first-missing-positive/
54,Cyclic Sort / Index Mapping,Find the repeated number and the missing number.,Not Done,"Cyclic sort: place each val at index val−1. The misplaced position reveals both numbers.",https://www.geeksforgeeks.org/find-a-repeating-and-a-missing-number/
,,,,
,── DUTCH NATIONAL FLAG ──,,,,
55,Dutch National Flag,Rearrange a stream of three kinds of objects so equal objects are grouped together.,Not Done,"Three pointers: low, mid, high. Swap mid with low or high based on value. O(n) single pass.",https://leetcode.com/problems/sort-colors/
,,,,
,── BINARY SEARCH (CLASSIC) ──,,,,
56,Binary Search (Classic),Find an integer square root or a square root to fixed precision.,Not Done,"Binary search on [0, n]. Check mid×mid ≤ n. For precision, float binary search. O(log n).",https://leetcode.com/problems/sqrtx/
57,Binary Search (Classic),Search in a row-wise and column-wise sorted matrix.,Not Done,"Start top-right. Go left if target < current, down if target > current. O(m+n).",https://leetcode.com/problems/search-a-2d-matrix-ii/
58,Binary Search (Classic),Find the first and last occurrence of a target in a sorted array.,Not Done,"Two binary searches: leftmost (continue left on equal) and rightmost (continue right on equal). O(log n).",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
59,Binary Search (Classic),Search in a rotated sorted array.,Not Done,"Determine which half is sorted. Check if target lies in sorted half. O(log n).",https://leetcode.com/problems/search-in-rotated-sorted-array/
60,Binary Search (Classic),Find the minimum element in a rotated sorted array.,Not Done,"Compare mid with right. If mid > right, min is in right half. O(log n).",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
61,Binary Search (Classic),Find a peak element.,Not Done,"If mid < mid+1, peak is right; else left. O(log n).",https://leetcode.com/problems/find-peak-element/
62,Binary Search (Classic),Find the k closest elements in a sorted array.,Not Done,"Binary search for insertion point. Expand outward with two pointers. O(log n + k).",https://leetcode.com/problems/find-k-closest-elements/
63,Binary Search (Classic),Search a value in an infinite or unknown-size sorted array.,Not Done,"Exponential search: double index until exceeding target, then binary search in range. O(log n).",https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/
64,Binary Search (Classic),Find the median of two sorted arrays.,Not Done,"Binary search on smaller array. Partition both. Check boundary conditions. O(log(min(m,n))).",https://leetcode.com/problems/median-of-two-sorted-arrays/
,,,,
,── BINARY SEARCH ON ANSWER ──,,,,
65,Binary Search on Answer,Use binary search on answer to minimize the maximum pages or tasks assigned.,Not Done,"Search on max pages. Feasibility: greedy left→right allocation. O(n log sum).",https://www.geeksforgeeks.org/allocate-minimum-number-pages/
66,Binary Search on Answer,Find the kth smallest element in a sorted matrix.,Not Done,"Binary search on value range [min, max]. Count elements ≤ mid per row. O(n log(max−min)).",https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
67,Binary Search on Answer,Maximize the minimum distance between placed items using binary search on answer.,Not Done,"Search on distance. Greedy check: place items left→right with min gap. O(n log range).",https://leetcode.com/problems/magnetic-force-between-two-balls/
68,Binary Search on Answer,Find the minimum feasible ship capacity to deliver packages within d days.,Not Done,"Search on capacity [max(w), sum(w)]. Greedy simulate loading. O(n log sum).",https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
69,Binary Search on Answer,Split an array to minimize the largest segment sum.,Not Done,"Search on answer. Check if ≤ m parts with each ≤ mid. O(n log sum).",https://leetcode.com/problems/split-array-largest-sum/
70,Binary Search on Answer,Find the minimum feasible time to finish trips/jobs/machines using a monotonic predicate.,Not Done,"Search on time. Check if total work at time t ≥ required. O(n log maxTime).",https://leetcode.com/problems/minimum-time-to-complete-trips/
,,,,
,── MERGE SORT / DIVIDE & CONQUER ──,,,,
71,Merge Sort / Divide & Conquer,Count inversions in an array.,Not Done,"Modified merge sort. Count inversions during merge step when left[i] > right[j]. O(n log n).",https://www.geeksforgeeks.org/counting-inversions/
72,Merge Sort / Divide & Conquer,Sort a linked list using merge sort.,Not Done,"Find mid (slow/fast), split, recursively sort halves, merge. O(n log n).",https://leetcode.com/problems/sort-list/
73,Merge Sort / Divide & Conquer,Find the second largest element in one pass without extra space.,Not Done,"Track two variables: largest and secondLargest. Single pass O(n) O(1) space.",https://www.geeksforgeeks.org/find-second-largest-element-array/
,,,,
,── NEXT PERMUTATION / REARRANGEMENT ──,,,,
74,Next Permutation,Find the next greater number using the same digits.,Not Done,"Find rightmost ascending pair. Swap with smallest larger digit to its right. Reverse suffix. O(n).",https://leetcode.com/problems/next-permutation/
,,,,
,── MONOTONIC STACK ──,,,,
75,Monotonic Stack,Find the next greater element for every array item.,Not Done,"Monotonic decreasing stack. Traverse right→left (or left→right). Pop smaller. O(n).",https://leetcode.com/problems/next-greater-element-i/
76,Monotonic Stack,Find the next smaller element for every array item.,Not Done,"Monotonic increasing stack. Similar but track smaller elements. O(n).",https://www.geeksforgeeks.org/next-smaller-element/
77,Monotonic Stack,Find the largest rectangle in a histogram.,Not Done,"Monotonic increasing stack of indices. On pop, compute area with popped bar as shortest. O(n).",https://leetcode.com/problems/largest-rectangle-in-histogram/
78,Monotonic Stack,Find the maximal rectangle in a binary matrix.,Not Done,"Build histogram row by row. Apply largest-rectangle-in-histogram per row. O(m×n).",https://leetcode.com/problems/maximal-rectangle/
79,Monotonic Stack,Solve Daily Temperatures.,Not Done,"Monotonic decreasing stack of indices. On warmer day, pop and record distance. O(n).",https://leetcode.com/problems/daily-temperatures/
80,Monotonic Stack,Solve Stock Span.,Not Done,"Monotonic decreasing stack of (price, index). Span = current index − stack top index. O(n).",https://leetcode.com/problems/online-stock-span/
81,Monotonic Stack,Find the next greater element in a circular array.,Not Done,"Traverse array twice (2n). Monotonic stack with index % n. O(n).",https://leetcode.com/problems/next-greater-element-ii/
82,Monotonic Stack,Remove k digits to form the smallest possible number.,Not Done,"Monotonic increasing stack. Remove larger digit from top when smaller comes. Greedy. O(n).",https://leetcode.com/problems/remove-k-digits/
83,Monotonic Stack,Count square submatrices with all ones.,Not Done,"DP: dp[i][j] = min(left, up, diagonal) + 1. Sum all dp values. O(m×n).",https://leetcode.com/problems/count-square-submatrices-with-all-ones/
,,,,
,── STACK-BASED PARSING & SIMULATION ──,,,,
84,Stack Parsing / Simulation,Evaluate a postfix expression.,Not Done,"Push operands. On operator, pop two, compute, push result. O(n).",https://www.geeksforgeeks.org/evaluation-of-postfix-expression/
85,Stack Parsing / Simulation,Convert an infix expression to postfix.,Not Done,"Shunting-yard algorithm. Stack for operators. Respect precedence and associativity. O(n).",https://www.geeksforgeeks.org/convert-infix-expression-to-postfix-expression/
86,Stack Parsing / Simulation,Evaluate an arithmetic expression with operators and parentheses.,Not Done,"Two stacks (values, operators) or recursive descent. Handle precedence. O(n).",https://leetcode.com/problems/basic-calculator/
87,Stack Parsing / Simulation,Check for balanced parentheses or brackets.,Not Done,"Stack. Push open brackets. Pop on close and check match. Empty stack at end = balanced. O(n).",https://leetcode.com/problems/valid-parentheses/
88,Stack Parsing / Simulation,Simplify a Unix-style path.,Not Done,"Split by '/'. Push directory names. Pop on '..'. Ignore '.' and empty. Join with '/'.",https://leetcode.com/problems/simplify-path/
89,Stack Parsing / Simulation,Resolve collision-style stack simulations such as Asteroid Collision.,Not Done,"Stack. Positive goes on. Negative collides with positive tops. Resolve by size. O(n).",https://leetcode.com/problems/asteroid-collision/
90,Stack Parsing / Simulation,Decode bracket-encoded strings such as 3[a2[c]].,Not Done,"Stack: push count and current string on '['. On ']', pop, repeat, concatenate. O(output length).",https://leetcode.com/problems/decode-string/
91,Stack Parsing / Simulation,Implement a queue using two stacks.,Not Done,"Push to s1. Pop: if s2 empty, transfer all from s1. Pop from s2. Amortized O(1).",https://leetcode.com/problems/implement-queue-using-stacks/
92,Stack Parsing / Simulation,Implement a stack using queues.,Not Done,"Push: enqueue, then rotate n−1 times. Pop: dequeue. O(n) push or O(n) pop.",https://leetcode.com/problems/implement-stack-using-queues/
93,Stack Parsing / Simulation,Design a min stack.,Not Done,"Two stacks: main + min. Push to min when ≤ current min. O(1) getMin.",https://leetcode.com/problems/min-stack/
94,Stack Parsing / Simulation,Print the first non-repeating character at every step of a character stream.,Not Done,"Queue + frequency map. Dequeue while front has freq > 1. O(n).",https://www.geeksforgeeks.org/find-first-non-repeating-character-stream-characters/
,,,,
,── LINKED LIST MANIPULATION ──,,,,
95,Linked List Techniques,Reverse a singly linked list.,Not Done,"Iterative: three pointers (prev, curr, next). Or recursive. O(n) time O(1) space iterative.",https://leetcode.com/problems/reverse-linked-list/
96,Linked List Techniques,Reverse a linked list in groups of size k.,Not Done,"Reverse first k nodes. Recursively reverse remaining. Connect groups. O(n).",https://leetcode.com/problems/reverse-nodes-in-k-group/
97,Linked List Techniques,Merge two sorted linked lists.,Not Done,"Compare heads, attach smaller, advance pointer. Iterative or recursive. O(m+n).",https://leetcode.com/problems/merge-two-sorted-lists/
98,Linked List Techniques,Clone a linked list with random pointer.,Not Done,"Interleave cloned nodes → set random pointers → separate lists. O(n) without hashmap.",https://leetcode.com/problems/copy-list-with-random-pointer/
99,Linked List Techniques,Insert into a sorted circular linked list when only an arbitrary node is given.,Not Done,"Traverse to find correct position. Handle wrap-around case (max→min). O(n).",https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/
100,Linked List Techniques,Find the intersection point of two linked lists.,Not Done,"Get lengths, advance longer by diff, walk together. Or two-pointer cycle trick. O(m+n).",https://leetcode.com/problems/intersection-of-two-linked-lists/
101,Linked List Techniques,Add two numbers represented by linked lists.,Not Done,"Traverse both, add digits + carry. New nodes per digit. Handle unequal lengths & final carry. O(max(m,n)).",https://leetcode.com/problems/add-two-numbers/
102,Linked List Techniques,Flatten a multilevel linked list.,Not Done,"DFS / stack. On child, splice child list between current and next. O(n).",https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/
103,Linked List Techniques,Reorder a linked list by odd and even positions or partition it around a pivot.,Not Done,"Separate into two lists (odd/even indexed), then concatenate. O(n).",https://leetcode.com/problems/odd-even-linked-list/
104,Linked List Techniques,Select a random node from a singly linked list.,Not Done,"Reservoir sampling. For ith node, pick with probability 1/i. O(n) per call O(1) space.",https://leetcode.com/problems/linked-list-random-node/
,,,,
,── GREEDY ──,,,,
105,Greedy,Find the maximum profit from one stock transaction.,Not Done,"Track minPrice so far. profit = price − minPrice. Track maxProfit. O(n).",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
106,Greedy,Find the maximum profit from multiple stock transactions.,Not Done,"Add all positive diffs: prices[i] − prices[i−1] when positive. O(n).",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
107,Greedy,Solve Jump Game.,Not Done,"Track farthest reachable index. If i > farthest, return false. O(n).",https://leetcode.com/problems/jump-game/
108,Greedy,Solve Jump Game II or minimum jumps to reach the end.,Not Done,"Track currentEnd and farthest. Increment jumps when reaching currentEnd. BFS-like. O(n).",https://leetcode.com/problems/jump-game-ii/
109,Greedy,Find the minimum number of taps needed to water a garden.,Not Done,"Convert to intervals. Greedy interval covering: always pick the tap reaching farthest. O(n).",https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/
110,Greedy,Solve the gas station complete-circuit problem.,Not Done,"Track totalSurplus and currentSurplus. Reset start on negative current. If total ≥ 0, answer = start. O(n).",https://leetcode.com/problems/gas-station/
111,Greedy,Solve the lemonade change greedy simulation.,Not Done,"Track $5 and $10 bills. For $10: give $5. For $20: prefer $10+$5, else 3×$5. O(n).",https://leetcode.com/problems/lemonade-change/
112,Greedy,Distribute candy subject to neighbor constraints.,Not Done,"Two passes: left→right (compare left neighbor), right→left (compare right). Take max. O(n).",https://leetcode.com/problems/candy/
113,Greedy,Assign cookies or resources greedily to maximize satisfied demand.,Not Done,"Sort both arrays. Two pointers: assign smallest sufficient cookie to smallest child. O(n log n).",https://leetcode.com/problems/assign-cookies/
114,Greedy,Solve reverse-greedy transformations such as Broken Calculator.,Not Done,"Work backwards. If target > start: even → divide; odd → add 1. Greedy reverse. O(log target).",https://leetcode.com/problems/broken-calculator/
115,Greedy,Solve job sequencing with deadlines and profits.,Not Done,"Sort by profit desc. For each job, find latest free slot ≤ deadline using DSU or array. O(n log n).",https://www.geeksforgeeks.org/job-sequencing-problem/
116,Greedy,Reconstruct a queue by height and position constraints.,Not Done,"Sort by height desc, k asc. Insert each person at index k in result. O(n²).",https://leetcode.com/problems/queue-reconstruction-by-height/
117,Greedy,Reorganize a string so no two adjacent characters are the same.,Not Done,"Max-heap by frequency. Greedily place most frequent, then next. Return '' if impossible. O(n log k).",https://leetcode.com/problems/reorganize-string/
118,Greedy,Find the lexicographically smallest string obtainable by removing at most one character.,Not Done,"Find first i where s[i] > s[i+1], remove s[i]. If none found, remove last char. O(n).",https://www.geeksforgeeks.org/lexicographically-smallest-string-formed-by-removing-at-most-one-character/
119,Greedy,Partition a string or label sequence greedily so each symbol appears in at most one part.,Not Done,"Record last occurrence of each char. Expand partition end to max last occurrence. Cut when i == end. O(n).",https://leetcode.com/problems/partition-labels/
,,,,
,── INTERVAL MERGING & SCHEDULING ──,,,,
120,Interval Merge / Schedule,Merge overlapping intervals.,Not Done,"Sort by start. Merge if current start ≤ prev end. Update end = max(ends). O(n log n).",https://leetcode.com/problems/merge-intervals/
121,Interval Merge / Schedule,Insert an interval into a sorted non-overlapping list.,Not Done,"Add non-overlapping before. Merge overlapping ones. Add non-overlapping after. O(n).",https://leetcode.com/problems/insert-interval/
122,Interval Merge / Schedule,Find interval intersections between two lists.,Not Done,"Two pointers. If overlap, add intersection. Advance the one ending first. O(m+n).",https://leetcode.com/problems/interval-list-intersections/
123,Interval Merge / Schedule,Check whether all meetings can be attended; if not find rooms needed.,Not Done,"Sort by start for attendance check. Min-heap of end times for room count. O(n log n).",https://leetcode.com/problems/meeting-rooms-ii/
124,Interval Merge / Schedule,Perform activity selection or maximize non-overlapping intervals.,Not Done,"Sort by end time. Greedily pick earliest-ending non-overlapping. O(n log n).",https://www.geeksforgeeks.org/activity-selection-problem-greedy-algo-1/
125,Interval Merge / Schedule,Find the minimum number of intervals to remove so the rest do not overlap.,Not Done,"Sort by end. Count non-overlapping (activity selection). Remove = total − count. O(n log n).",https://leetcode.com/problems/non-overlapping-intervals/
126,Interval Merge / Schedule,Find the minimum number of arrows to burst all balloons.,Not Done,"Sort by end. Shoot at first end. Skip covered balloons. Count uncovered. O(n log n).",https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/
,,,,
,── SWEEP LINE / EVENT PROCESSING ──,,,,
127,Sweep Line / Events,Find the point where the maximum number of intervals overlap.,Not Done,"Events: +1 at start, −1 at end. Sort. Track running sum and max. O(n log n).",https://www.geeksforgeeks.org/find-the-point-where-maximum-intervals-overlap/
128,Sweep Line / Events,Find the minimum number of platforms or rooms needed for intervals.,Not Done,"Sort arrivals and departures. Two-pointer merge. Or sweep line. O(n log n).",https://www.geeksforgeeks.org/minimum-number-platforms-required-railwaybus-station/
129,Sweep Line / Events,Find the peak number of concurrent intervals.,Not Done,"Same sweep line pattern. Max running sum = peak concurrency. O(n log n).",https://www.geeksforgeeks.org/find-the-point-where-maximum-intervals-overlap/
130,Sweep Line / Events,Solve car-pooling or capacity scheduling with a sweep-line technique.,Not Done,"+passengers at pickup, −passengers at drop. Sort events. Check if capacity ever exceeded. O(n log n).",https://leetcode.com/problems/car-pooling/
131,Sweep Line / Events,Find the number of rooms needed for meetings using a min-heap.,Not Done,"Sort by start. Min-heap of end times. If earliest end ≤ new start, reuse. Else add room. O(n log n).",https://leetcode.com/problems/meeting-rooms-ii/
,,,,
,── BFS (SHORTEST PATH / LEVEL ORDER) ──,,,,
132,BFS (Shortest Path),Find the shortest path in an unweighted graph using BFS.,Not Done,"Standard BFS from source. Distance = level in BFS tree. O(V+E).",https://www.geeksforgeeks.org/shortest-path-unweighted-graph/
133,BFS (Shortest Path),Find the shortest path in a binary maze.,Not Done,"BFS on grid. 4-directional. Walls = 0, paths = 1. O(m×n).",https://www.geeksforgeeks.org/shortest-path-in-a-binary-maze/
134,BFS (Shortest Path),Find the shortest path in a binary matrix.,Not Done,"BFS from (0,0) to (n−1,n−1). 8-directional movement. Track visited. O(m×n).",https://leetcode.com/problems/shortest-path-in-binary-matrix/
135,BFS (Shortest Path),Find the minimum knight moves and print one valid path.,Not Done,"BFS with 8 L-shaped moves. Track parent for path reconstruction. O(area).",https://leetcode.com/problems/minimum-knight-moves/
136,BFS (Shortest Path),Solve Word Ladder.,Not Done,"BFS. Each word = node. Edge = differ by 1 char. Use wildcard patterns for efficiency. O(n×L²).",https://leetcode.com/problems/word-ladder/
137,BFS (Shortest Path),Solve Open the Lock.,Not Done,"BFS from '0000'. 8 neighbors per state (4 wheels × 2 directions). Skip deadends. O(10⁴).",https://leetcode.com/problems/open-the-lock/
138,BFS (Shortest Path),Solve Snakes and Ladders with BFS.,Not Done,"BFS from cell 1. Try 1–6 dice rolls. Follow snakes/ladders instantly. O(n²).",https://leetcode.com/problems/snakes-and-ladders/
